5,-55,47,49.60778170412367,4
377,-55,66,15.120714647261636,1
7,-54,53,90.42131998237001,1
8,-54,68,25.047157631098788,1
11,-53,51,62.840784349625416,4
13,-52,41,84.4859396502982,3
14,-51,70,14.47807038591873,3
15,-51,72,91.34166497864717,4
17,-49,71,14.681832488444018,2
18,-49,74,60.15959614094951,3
19,-49,76,73.43130928059456,1
20,-49,85,55.333870732426824,2
378,-48,56,13.18688517036563,4
21,-48,67,30.96410039142999,2
382,-47,50,68.00924162473373,4
370,-47,71,25.571366041417434,1
22,-47,83,67.34776200923767,3
26,-46,75,60.94470635136639,1
27,-45,45,39.280629888927066,1
28,-45,67,66.63265209481723,4
29,-45,78,23.415940055979355,2
30,-45,80,39.90060053181786,1
32,-44,83,36.54898698599787,2
35,-43,56,41.312105784759794,4
36,-43,69,29.61690693227407,3
37,-43,70,79.40959967895141,2
40,-42,56,72.66022415880387,4
41,-42,66,19.973942847191058,4
373,-42,81,53.187973226961745,3
42,-42,83,13.188696096899093,2
45,-41,75,95.62373372028674,4
46,-41,82,85.76244082706333,1
51,-40,42,5.842130564418859,3
53,-40,73,65.32439547197792,4
55,-39,51,23.501609166151365,1
61,-38,83,77.40118198503694,4
66,-37,66,43.79224540782581,2
70,-36,69,60.235037117480374,3
375,-36,80,24.291186092825644,2
72,-35,66,92.77591874469348,2
73,-35,69,59.39581380450024,2
76,-34,71,56.528569545717374,1
80,-33,46,1.9736956964841166,4
83,-31,57,91.30068845781926,2
84,-31,80,21.362858250184313,4
85,-31,82,94.40400640604327,2
86,-31,83,42.17492026115084,2
89,-30,43,47.80659996250796,2
90,-30,83,86.55651128053012,4
93,-29,41,43.03607723098147,1
94,-29,51,53.2640967435097,2
95,-29,64,10.634249372948467,3
96,-29,66,38.41314916280382,2
368,-28,51,97.21112998381545,1
99,-28,57,69.01673957441461,3
100,-28,65,37.31854200178204,1
101,-28,72,86.0045632027854,1
379,-28,76,87.3024517114448,4
105,-27,55,40.727080372290004,1
108,-26,44,54.7767046745867,3
109,-26,46,36.59677508675866,4
367,-26,75,12.133237589192595,2
111,-25,57,50.67140746244845,4
112,-25,62,32.73537498550749,4
114,-24,49,95.75036874080683,3
357,-24,55,54.84450406692298,2
115,-24,75,90.70821143554045,1
363,-23,57,77.01072733120235,1
360,-22,62,9.50384606846611,2
